participant,task,attempt,method,Rvel,Rcup,Rtable,Rvel*,Rcup*,Rtable*,RvD,RcD,RtD,Force,iactT,weight
P4,T1,1,B,0.0446078183687,86.3112360079,50.4748880649,0.0252667811742,67.9221456532,41.5027278248,-0.0193410371945,-18.3890903547,-8.97216024013,64.404466629,2.1,0.804408793076
P4,T1,2,A,0.0318131073841,74.824854257,48.9021098236,0.0252667811742,67.9221456532,41.5027278248,-0.00654632620993,-6.90270860376,-7.39938199884,32.3347517252,0.9,0.798495430477
P4,T1,2,B,0.0267863238632,73.5115841101,46.3914647499,0.0252667811742,67.9221456532,41.5027278248,-0.00151954268903,-5.5894384569,-4.88873692508,54.9984312057,0.9,0.590280124327
P4,T2,1,A,0.176702927706,123.756127788,69.2708024154,0.0521496254811,117.782620548,61.2207211307,-0.124553302225,-5.97350723981,-8.05008128469,76.9661661386,2.0,0.825675889202
P4,T2,1,B,0.191486064034,123.904302937,64.4304847344,0.0521496254811,117.782620548,61.2207211307,-0.139336438553,-6.12168238887,-3.20976360369,97.5581711531,1.6,0.980016475089
P4,T2,2,A,0.213929578541,141.514855518,64.267116205,0.0521496254811,117.782620548,61.2207211307,-0.16177995306,-23.7322349697,-3.04639507425,88.2972011566,1.9,1.07276364669
P4,T2,2,B,0.147784549835,125.379774057,65.5723374856,0.0521496254811,117.782620548,61.2207211307,-0.0956349243537,-7.5971535094,-4.35161635492,98.315783143,1.8,1.17278264164
P5,T1,1,A,0.0919903132096,108.167525162,47.3493885435,0.0252667811742,67.9221456532,41.5027278248,-0.0667235320354,-40.2453795092,-5.84666071872,73.7554117441,2.0,0.908316620318
P5,T1,1,B,0.0892455094914,71.004929486,47.5538210752,0.0252667811742,67.9221456532,41.5027278248,-0.0639787283172,-3.08278383279,-6.0510932504,375.425102234,3.9,0.968655970743
P5,T1,2,A,0.0742053429391,69.6931877369,51.1707078683,0.0252667811742,67.9221456532,41.5027278248,-0.0489385617649,-1.77104208374,-9.66798004351,72.0911971331,2.6,0.796613164266
P5,T1,2,B,0.0809716103526,53.0598858452,55.0348609969,0.0252667811742,67.9221456532,41.5027278248,-0.0557048291784,14.862259808,-13.5321331721,228.88754487,2.6,0.980487450947
P5,T2,1,A,0.138477843632,105.449760496,69.9163235434,0.0521496254811,117.782620548,61.2207211307,-0.0863282181505,12.3328600518,-8.69560241269,79.3657828569,1.9,1.12171378667
P5,T2,1,B,0.237706335802,107.127412596,65.5672979112,0.0521496254811,117.782620548,61.2207211307,-0.185556710321,10.6552079519,-4.3465767805,111.339395165,1.6,1.07552594371
P5,T2,2,A,0.134668543694,118.591088767,65.644971507,0.0521496254811,117.782620548,61.2207211307,-0.0825189182128,-0.808468219199,-4.42425037635,93.8738007545,1.8,1.05983789097
P5,T2,2,B,0.183468477157,108.123620552,63.3925405189,0.0521496254811,117.782620548,61.2207211307,-0.131318851676,9.65899999616,-2.17181938817,120.524309516,1.8,1.31783226668
P6,T1,1,A,0.203756293602,74.4844038119,46.0570190622,0.0252667811742,67.9221456532,41.5027278248,-0.178489512427,-6.56225815871,-4.55429123739,284.58014977,3.5,0.956850278283
P6,T1,1,B,0.0566843802036,37.3095112851,55.6458425158,0.0252667811742,67.9221456532,41.5027278248,-0.0314175990294,30.6126343681,-14.143114691,263.312576652,2.7,0.972059060114
P6,T1,2,A,0.156467203988,78.4240236136,44.2855434652,0.0252667811742,67.9221456532,41.5027278248,-0.131200422814,-10.5018779604,-2.78281564037,218.688462615,3.4,0.935079568988
P6,T1,2,B,0.0789379873213,34.3645362953,54.920213116,0.0252667811742,67.9221456532,41.5027278248,-0.0536712061471,33.5576093579,-13.4174852912,376.859739304,3.6,0.967169951711
P6,T2,1,A,0.241034696527,130.139375273,59.2543527832,0.0521496254811,117.782620548,61.2207211307,-0.188885071046,-12.3567547251,1.96636834751,123.261502504,1.8,1.07882742446
P6,T2,1,B,0.191950405618,108.347256806,62.6139541303,0.0521496254811,117.782620548,61.2207211307,-0.139800780137,9.43536374243,-1.39323299965,138.378253579,2.0,1.09244339225
P6,T2,2,A,0.24976430382,133.466267605,53.7713179338,0.0521496254811,117.782620548,61.2207211307,-0.197614678339,-15.683647057,7.44940319695,155.8944484,2.4,1.46217165205
P6,T2,2,B,0.29373273758,118.06900279,61.3539653143,0.0521496254811,117.782620548,61.2207211307,-0.241583112099,-0.286382241627,-0.133244183628,105.081564426,1.9,1.32925675398
P7,T1,1,A,0.141977406921,84.2085434413,47.7042205623,0.0252667811742,67.9221456532,41.5027278248,-0.116710625746,-16.2863977881,-6.20149273748,202.188351631,2.3,0.872773346236
P7,T1,1,B,0.0348612144171,78.9566212595,42.2501365527,0.0252667811742,67.9221456532,41.5027278248,-0.00959443324287,-11.0344756063,-0.747408727939,136.989660263,1.5,0.973636946167
P7,T1,2,A,0.215716015355,72.2856070283,53.9392086174,0.0252667811742,67.9221456532,41.5027278248,-0.190449234181,-4.36346137511,-12.4364807926,281.427296996,2.9,0.843846895312
P7,T1,2,B,0.0762253852567,31.9925066847,61.1773525388,0.0252667811742,67.9221456532,41.5027278248,-0.0509586040825,35.9296389685,-19.674624714,244.502180219,2.2,0.931638894849
P7,T2,1,A,0.287635075379,133.281062066,65.2050435569,0.0521496254811,117.782620548,61.2207211307,-0.235485449898,-15.4984415181,-3.98432242623,115.525250077,2.3,0.800139587894
P7,T2,1,B,0.204711474171,120.793669824,76.7297377909,0.0521496254811,117.782620548,61.2207211307,-0.15256184869,-3.01104927599,-15.5090166602,82.5998668671,1.3,0.851485812312
P7,T2,2,A,0.184547319286,80.1943880958,80.065522512,0.0521496254811,117.782620548,61.2207211307,-0.132397693805,37.5882324522,-18.8448013813,66.8791029453,1.2,0.666968734344
P7,T2,2,B,0.216218814485,104.965007729,66.8452543966,0.0521496254811,117.782620548,61.2207211307,-0.164069189004,12.8176128185,-5.62453326587,87.2063355446,1.6,1.38080711299
